anchor_id,env_name,pos_x,pos_y,pos_z,q_w,q_x,q_y,q_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,has_collided
0,CityEnviron,-20.459383010864258,-20.644405364990234,-10.143636703491211,-0.3225105106830597,-0.002131548710167408,0.005975980777293444,0.9465446472167969,0.18833212554454803,-0.23454324901103973,-0.30914944410324097,-0.39217549562454224,-0.02174585685133934,-6.60195728414692e-05,False
1,CityEnviron,-21.166757583618164,-20.977550506591797,-10.4169340133667,-0.31081444025039673,0.009622851386666298,-0.06079573556780815,0.9484754204750061,-1.5203050374984741,0.2104651927947998,-0.1240103617310524,1.8416523933410645,0.9739411473274231,-0.005560481455177069,False
2,CityEnviron,-21.507368087768555,-19.719694137573242,-11.376626014709473,-0.3007948696613312,0.08972280472517014,0.0589604414999485,0.9476264119148254,-0.33413153886795044,0.7783337235450745,-0.2903825044631958,0.22593367099761963,0.9679224491119385,-0.00258897733874619,False
3,CityEnviron,-22.1522159576416,-18.559839248657227,-12.185566902160645,-0.2747972905635834,-0.07574107497930527,0.11083142459392548,0.9520851373672485,0.5665479898452759,0.43754929304122925,-1.3577032089233398,-1.027970790863037,-1.0068153142929077,-0.013570894487202168,False
4,CityEnviron,-21.791088104248047,-19.008445739746094,-12.318241119384766,-0.23006899654865265,0.056205812841653824,-0.07906799018383026,0.9683271646499634,-0.9201647639274597,-0.30982285737991333,0.06104622781276703,0.92418372631073,1.0635743141174316,-0.014515601098537445,False
5,CityEnviron,-22.6376895904541,-19.886816024780273,-13.57411003112793,-0.21128694713115692,0.018547149375081062,-0.06892964243888855,0.9748141169548035,-1.152327060699463,-0.47614675760269165,-0.9506008625030518,0.9235392808914185,1.020904302597046,-0.011549323797225952,False
6,CityEnviron,-23.105375289916992,-20.089563369750977,-14.244226455688477,-0.20202021300792694,0.024384915828704834,-0.026116756722331047,0.9787293672561646,-0.45543909072875977,0.366626501083374,-0.3580433130264282,0.808785617351532,0.5317758917808533,-0.010332442820072174,False
7,CityEnviron,-23.257686614990234,-20.089813232421875,-13.562274932861328,-0.20777876675128937,-0.02474922128021717,0.0024468747433274984,0.9778596758842468,0.8938241004943848,-0.37669795751571655,0.17967797815799713,-0.6235204935073853,-0.961218535900116,-0.012197662144899368,False
8,CityEnviron,-21.82870864868164,-20.66050148010254,-13.505764961242676,-0.20374539494514465,0.02698795311152935,-0.006798707414418459,0.9786282777786255,1.424482822418213,-0.7159555554389954,-0.37827640771865845,-1.0395375490188599,-0.5866970419883728,-0.005245677195489407,False
9,CityEnviron,-19.71703338623047,-20.678728103637695,-14.200821876525879,-0.20780062675476074,0.09818194061517715,0.018722452223300934,0.9730512499809265,1.6730153560638428,0.7773464322090149,-0.08616935461759567,0.2823995053768158,-0.5935800075531006,0.011158032342791557,False
10,CityEnviron,-19.98099136352539,-20.211912155151367,-15.509028434753418,-0.21573302149772644,0.04744002968072891,0.060316845774650574,0.9734324216842651,-1.3916990756988525,-0.23534899950027466,-0.8953457474708557,-0.440695583820343,2.499072790145874,0.0010598087683320045,False
11,CityEnviron,-20.70792007446289,-20.995006561279297,-16.806697845458984,-0.24765899777412415,-0.07817073911428452,-0.07157406955957413,0.9630324840545654,0.7452952265739441,0.22218579053878784,-1.6371532678604126,0.44645267724990845,-1.4920551776885986,0.012483537197113037,False
12,CityEnviron,-19.963211059570312,-19.8763427734375,-17.814781188964844,-0.2413703352212906,-0.04325367882847786,0.034777138382196426,0.9688447117805481,1.1451094150543213,1.3025832176208496,-0.5086202621459961,-0.007299328688532114,-1.7087444067001343,-0.003460013074800372,False
13,CityEnviron,-19.788509368896484,-19.764545440673828,-18.818470001220703,-0.22462454438209534,0.02980305440723896,-0.010215328074991703,0.9739359617233276,-0.8298129439353943,-0.5905154943466187,-0.7460797429084778,0.046722427010536194,1.329425573348999,0.0007458631880581379,False
14,CityEnviron,-21.448528289794922,-20.397607803344727,-18.676441192626953,-0.22221609950065613,-0.012343201786279678,-0.01956779509782791,0.9747229218482971,-2.0751688480377197,-0.3428421914577484,-0.31187906861305237,0.463408887386322,1.4213069677352905,-0.006685322616249323,False
15,CityEnviron,-21.687475204467773,-20.886690139770508,-20.096067428588867,-0.24774380028247833,-0.03362196683883667,-0.10540307313203812,0.9624878168106079,0.967811107635498,0.5941108465194702,-1.1593130826950073,0.9378026723861694,-1.6098536252975464,0.010836218483746052,False
16,CityEnviron,-20.369720458984375,-20.144975662231445,-20.674545288085938,-0.23503924906253815,0.11752224713563919,0.07734951376914978,0.9617495536804199,0.30115577578544617,-0.7357620000839233,-1.4957479238510132,-1.0538324117660522,1.6003364324569702,0.016508813947439194,False
